dt_code,dtname,stname,st_code,year,Zone,,,
638,Nicobars,ANDAMAN & NICOBAR,35,2011_c,Green Zone,,,South Andaman
639,North & Middle Andaman,ANDAMAN & NICOBAR,35,2011_c,Green Zone,,,North & Middle Andaman
640,South Andaman,ANDAMAN & NICOBAR,35,2011_c,Red Zone,,,Kurnool
553,Anantapur,ANDHRA PRADESH,37,2011_c,Orange Zone,,,Guntur
554,Chittoor,ANDHRA PRADESH,37,2011_c,Red Zone,,,Krishna
545,East Godavari,ANDHRA PRADESH,37,2011_c,Orange Zone,,,Chittoor
548,Guntur,ANDHRA PRADESH,37,2011_c,Red Zone,,,S.P.S. Nellore
547,Krishna,ANDHRA PRADESH,37,2011_c,Red Zone,,,Prakasam
552,Kurnool,ANDHRA PRADESH,37,2011_c,Red Zone,,,Y.S.R.
549,Prakasam,ANDHRA PRADESH,37,2011_c,Orange Zone,,,Anantapur
550,S.P.S. Nellore,ANDHRA PRADESH,37,2011_c,Red Zone,,,West Godavari
542,Srikakulam,ANDHRA PRADESH,37,2011_c,Orange Zone,,,East Godavari
544,Visakhapatnam,ANDHRA PRADESH,37,2011_c,Orange Zone,,,Visakhapatnam
543,Vizianagaram,ANDHRA PRADESH,37,2011_c,Green Zone,,,Lohit
546,West Godavari,ANDHRA PRADESH,37,2011_c,Orange Zone,,,Golaghat
551,Y.S.R.,ANDHRA PRADESH,37,2011_c,Orange Zone,,,Kamrup Metropolitan
260,Anjaw,ARUNACHAL PRADESH,12,2011_c,Green Zone,,,Morigaon
253,Changlang,ARUNACHAL PRADESH,12,2011_c,Green Zone,,,Nalbari
247,East Kameng,ARUNACHAL PRADESH,12,2011_c,Green Zone,,,Goalpara
251,East Siang,ARUNACHAL PRADESH,12,2011_c,Green Zone,,,Dhubri
778,Kamle,ARUNACHAL PRADESH,12,2018,Green Zone,,,Cachar
763,Kra Daadi,ARUNACHAL PRADESH,12,2015_c,Green Zone,,,Hailakandi
256,Kurung Kumey,ARUNACHAL PRADESH,12,2011_c,Green Zone,,,Kamrup
784,Lepa Rada,ARUNACHAL PRADESH,12,2018,Green Zone,,,Karimganj
259,Lohit,ARUNACHAL PRADESH,12,2011_c,Green Zone,,,Lakhimpur
761,Longding,ARUNACHAL PRADESH,12,2012_c,Green Zone,,,South Salmara Mancachar
258,Lower Dibang Valley,ARUNACHAL PRADESH,12,2011_c,Green Zone,,,Munger
779,Lower Siang,ARUNACHAL PRADESH,12,2018,Green Zone,,,Nalanda
255,Lower Subansiri,ARUNACHAL PRADESH,12,2011_c,Green Zone,,,Siwan
762,Namsai,ARUNACHAL PRADESH,12,2014_c,Green Zone,,,Patna
783,Pakke Kessang,ARUNACHAL PRADESH,12,2018,Green Zone,,,Begusarai
248,Papum Pare,ARUNACHAL PRADESH,12,2011_c,Green Zone,,,Buxar
785,Shi Yomi,ARUNACHAL PRADESH,12,2018,Green Zone,,,Bhagalpur
